Napoli,     42  30 15 12 3 41 21
Juventus,   39  30 14 11 5 42 27
Inter,      38  30 15  8 7 32 17
Verona,     36  30 12 12 6 36 25
Milan,      35  30 13  9 8 31 21
Sampdoria,  35  30 13  9 8 37 21
Roma,       33  30 12  9 9 37 31
Avellino,   30  30 9  12 9 31 38
Como,       26  30 5  16 9 16 20
Fiorentina, 26  30 8 10	12 30 35
Torino,	    26  30 8 10 12 26 32
Ascoli,	    24  30 7 10 13 18 33
Empoli,	    23  30 8  7 15 13 33
Brescia,    22  30 7  8 15 25 35
Atalanta,   21  30 7  7 16 22 32
Udinese,    15  30 6 12 12 25 41
